Letter,Count_all,Count_uppercase,Percentage
н,56,5,7.04
о,96,3,12.06
в,44,1,5.53
с,60,3,7.54
т,59,5,7.41
а,46,0,5.78
я,15,0,1.88
л,34,0,4.27
е,69,0,8.67
и,61,1,7.66
г,23,5,2.89
д,31,5,3.89
р,34,5,4.27
п,17,2,2.14
ш,2,0,0.25
ф,2,0,0.25
ь,17,0,2.14
у,17,0,2.14
ч,10,0,1.26
й,11,0,1.38
ы,13,0,1.63
б,8,1,1.01
м,19,1,2.39
к,24,2,3.02
ж,7,1,0.88
ю,6,0,0.75
ц,3,0,0.38
з,5,0,0.63
э,6,0,0.75
х,1,0,0.13
