Letter,Count_all,Count_uppercase,Percentage
н,102,9,7.0
о,177,4,12.14
в,80,5,5.49
с,104,4,7.13
т,109,11,7.48
а,89,1,6.1
я,28,0,1.92
л,61,2,4.18
е,119,0,8.16
и,109,1,7.48
г,35,8,2.4
р,65,9,4.46
д,57,9,3.91
ь,31,0,2.13
к,50,2,3.43
ы,28,0,1.92
м,41,1,2.81
у,31,0,2.13
з,13,0,0.89
б,15,2,1.03
х,7,0,0.48
ц,5,0,0.34
ч,16,0,1.1
й,20,0,1.37
п,29,3,1.99
ш,3,0,0.21
ф,3,0,0.21
ю,10,0,0.69
ж,11,1,0.75
э,9,0,0.62
щ,1,0,0.07
