Letter,Count_all,Count_uppercase,Percentage
н,260,26,6.88
о,457,11,12.1
в,220,16,5.82
с,279,10,7.39
т,288,26,7.63
а,229,2,6.06
я,73,0,1.93
л,157,4,4.16
е,300,0,7.94
и,288,3,7.63
ю,31,0,0.82
ь,83,0,2.2
б,41,9,1.09
у,83,0,2.2
м,104,3,2.75
з,31,0,0.82
п,75,8,1.99
к,124,7,3.28
г,90,20,2.38
д,143,23,3.79
р,163,23,4.32
ш,8,0,0.21
ф,8,0,0.21
ч,40,0,1.06
й,51,0,1.35
ы,69,0,1.83
ж,29,3,0.77
ц,13,0,0.34
э,23,0,0.61
х,15,0,0.4
щ,2,0,0.05
